state_fips,state_abbrev,state_name,year,beer_tax_usd_per_gallon,policy_change_count_sunday_sales,policy_change_count_underage_purchase,fars_fatalities_total,fars_fatalities_alcohol_involved,fars_fatalities_impaired,rate_alcohol_involved_per100k,rate_impaired_per100k,unemployment_rate,pcpi_nominal,population_thousands,vmt_total_million,vmt_per_capita,beer_tax_delta,beer_tax_increase_event,rate_impaired_per100k_lag1,rate_impaired_per100k_lag2,rate_alcohol_involved_per100k_lag1,rate_alcohol_involved_per100k_lag2,beer_tax_usd_per_gallon_lag1,beer_tax_usd_per_gallon_lag2,unemployment_rate_lag1,unemployment_rate_lag2,pcpi_nominal_lag1,pcpi_nominal_lag2,vmt_per_capita_lag1,vmt_per_capita_lag2,treatment_year,event_time
18,IN,Indiana,2023,0.12,0,0,898,210,143,3.0522674640933434,2.078448796977848,3.4499999999999997,61083.0,6880.131,85209.0,12384.79325466332,0.0,0,1.54867854619993,1.6432149088888683,2.5860009686546004,2.3767929932142557,0.12,0.12,3.0666666666666664,3.891666666666667,58867.0,57254.0,13979.599812697557,11537.716110269697,,
20,KS,Kansas,2003,0.18,0,0,469,149,303,5.471897948001545,11.12741663251321,5.583333333333333,30029.0,2723.004,28663.528508119787,10526.436431279493,,0,,,,,,,,,,,,,,
20,KS,Kansas,2004,0.18,0,0,459,132,247,4.827432102350338,9.033149464246465,5.491666666666667,30748.0,2734.373,29403.050501003196,10753.123476937199,0.0,0,11.12741663251321,,5.471897948001545,,0.18,,5.583333333333333,,30029.0,,10526.436431279493,,,
20,KS,Kansas,2005,0.18,3,0,428,124,190,4.516812194227295,6.920921910509566,5.083333333333333,32340.0,2745.299,29647.405752353025,10799.335792696178,0.0,0,9.033149464246465,11.12741663251321,4.827432102350338,5.471897948001545,0.18,0.18,5.491666666666667,5.583333333333333,30748.0,30029.0,10753.123476937199,10526.436431279493,,
20,KS,Kansas,2006,0.18,0,0,468,134,236,4.849922057409324,8.541653772750749,4.416666666666667,35411.0,2762.931,29892.246957163476,10819.034915154767,0.0,0,6.920921910509566,9.033149464246465,4.516812194227295,4.827432102350338,0.18,0.18,5.083333333333333,5.491666666666667,32340.0,30748.0,10799.335792696178,10753.123476937199,,
20,KS,Kansas,2007,0.18,0,0,416,120,178,4.3106777283446815,6.394171963711278,4.258333333333334,37748.0,2783.785,30048.0,10793.937031775084,0.0,0,8.541653772750749,6.920921910509566,4.849922057409324,4.516812194227295,0.18,0.18,4.416666666666667,5.083333333333333,35411.0,32340.0,10819.034915154767,10799.335792696178,,
20,KS,Kansas,2008,0.18,0,0,384,138,125,4.914396903787504,4.451446470822015,4.583333333333333,41060.0,2808.076,29727.0,10586.251939050082,0.0,0,6.394171963711278,8.541653772750749,4.3106777283446815,4.849922057409324,0.18,0.18,4.258333333333334,4.416666666666667,37748.0,35411.0,10793.937031775084,10819.034915154767,,
20,KS,Kansas,2009,0.18,0,0,386,124,127,4.377442895551388,4.483348772056664,7.041666666666667,39382.0,2832.704,29497.0,10413.018797587041,0.0,0,4.451446470822015,6.394171963711278,4.914396903787504,4.3106777283446815,0.18,0.18,4.583333333333333,4.258333333333334,41060.0,37748.0,10586.251939050082,10793.937031775084,,
20,KS,Kansas,2010,0.18,0,0,431,205,146,7.172180615799929,5.107992048325803,6.941666666666666,39821.0,2858.266,29900.0,10460.887824995994,0.0,0,4.483348772056664,4.451446470822015,4.377442895551388,4.914396903787504,0.18,0.18,7.041666666666667,4.583333333333333,39382.0,41060.0,10413.018797587041,10586.251939050082,,
20,KS,Kansas,2011,0.18,0,0,386,121,180,4.216502414731693,6.272482931005824,6.3500000000000005,42889.0,2869.677,30021.0,10461.45611509588,0.0,0,5.107992048325803,4.483348772056664,7.172180615799929,4.377442895551388,0.18,0.18,6.941666666666666,7.041666666666667,39821.0,39382.0,10460.887824995994,10413.018797587041,,
20,KS,Kansas,2012,0.18,0,0,405,111,178,3.8461218617724593,6.167654877436917,5.683333333333334,44913.0,2886.024,30572.0,10593.120500730416,0.0,0,6.272482931005824,5.107992048325803,4.216502414731693,7.172180615799929,0.18,0.18,6.3500000000000005,6.941666666666666,42889.0,39821.0,10461.45611509588,10460.887824995994,,
