state_fips,state_abbrev,state_name,year,beer_tax_usd_per_gallon,policy_change_count_sunday_sales,policy_change_count_underage_purchase,fars_fatalities_total,fars_fatalities_alcohol_involved,fars_fatalities_impaired,rate_alcohol_involved_per100k,rate_impaired_per100k,unemployment_rate,pcpi_nominal,population_thousands,vmt_total_million,vmt_per_capita
32,NV,Nevada,2006,0.16,0,0,431,148,227,5.866827766585878,8.998445290641854,4.166666666666667,39437.0,2522.658,22031.206772941372,8733.330785600494
32,NV,Nevada,2007,0.16,0,0,373,128,171,4.921047937158218,6.574212478547306,4.766666666666667,39870.0,2601.072,22146.0,8514.181845023897
32,NV,Nevada,2008,0.16,0,0,324,114,137,4.296002080169429,5.162739341957997,6.8999999999999995,38640.0,2653.63,20780.0,7830.782739115853
32,NV,Nevada,2009,0.16,0,0,243,88,104,3.2778763830869027,3.8738539072845213,11.075,36125.0,2684.665,20454.0,7618.827674961308
32,NV,Nevada,2010,0.16,0,0,257,79,106,2.9232376299869416,3.9223188452989346,13.25,37289.0,2702.483,22201.0,8215.037800422797
32,NV,Nevada,2011,0.16,0,0,246,83,113,3.0592153518060794,4.164955840410687,12.983333333333334,38595.0,2713.114,24189.0,8915.585559618947
32,NV,Nevada,2012,0.16,0,0,261,88,139,3.2062142261182585,5.064361107164067,11.533333333333331,39680.0,2744.67,24148.0,8798.143310489057
32,NV,Nevada,2013,0.16,0,0,266,82,148,2.952873578119351,5.3295767019715115,9.966666666666669,39331.0,2776.956,24649.0,8876.265954519986
32,NV,Nevada,2014,0.16,0,0,291,98,144,3.476490234787251,5.108312181728206,8.200000000000001,41126.0,2818.935,25302.0,8975.730195978269
32,NV,Nevada,2015,0.16,0,0,326,105,84,3.6604101541869336,2.9283281233495475,6.866666666666667,43799.0,2868.531,25925.0,9037.726975932977
32,NV,Nevada,2016,0.16,0,0,329,101,82,3.4594313174439257,2.808647208221801,5.833333333333333,44715.0,2919.555,26788.0,9175.370904127512
32,NV,Nevada,2017,0.16,0,0,311,80,65,2.6917021887239883,2.1870080283382407,5.008333333333334,46991.0,2972.097,27587.0,9281.998535041084
32,NV,Nevada,2018,0.16,0,0,329,84,57,2.7716140527431556,1.88073810721857,4.408333333333333,49289.0,3030.725,28319.0,9343.968852337312
32,NV,Nevada,2019,0.16,0,0,304,97,72,3.1383755056586207,2.3295158392517594,4.108333333333333,51942.0,3090.771,28794.0,9316.122093807662
32,NV,Nevada,2020,0.16,0,0,333,80,59,2.566597593108942,1.8928657249178449,13.675,54656.0,3116.967,25231.0,8094.727983966465
32,NV,Nevada,2021,0.16,0,0,385,122,86,3.87530291686427,2.7317709086092394,6.825,60775.0,3148.141,27077.0,8600.948940978184
32,NV,Nevada,2022,0.16,0,0,417,146,103,4.596809436431163,3.2429546024137657,5.2,62493.0,3176.116,27647.0,8704.656882809066
32,NV,Nevada,2023,0.16,0,0,389,108,64,3.359919212609155,1.9910632371017212,5.141666666666667,65822.0,3214.363,27777.0,8641.525552652267
36,NY,New York,2003,0.13,0,0,1493,279,1284,1.454948307876866,6.695891137325791,6.416666666666667,37420.0,19175.939,130436.79771082186,6802.107459291661
36,NY,New York,2004,0.11,0,0,1495,335,1192,1.7473793352416107,6.217540798829851,5.808333333333334,39093.0,19171.567,133802.08054964303,6979.193748202378
36,NY,New York,2005,0.11,0,0,1434,335,1094,1.7509372741094915,5.71798620261428,4.95,40645.0,19132.61,134914.04820152742,7051.523456628626
36,NY,New York,2006,0.11,0,0,1454,337,1115,1.7639702122485381,5.836281266044866,4.5,43760.0,19104.631,136028.22724246746,7120.170352542661
36,NY,New York,2007,0.11,0,0,1332,329,980,1.7196019199956514,5.12221848509343,4.425,47020.0,19132.335,136737.0,7146.906010165513
36,NY,New York,2008,0.11,0,0,1238,308,885,1.6031283071027538,4.606391401902393,5.391666666666667,47909.0,19212.436,134085.0,6979.073346034828
36,NY,New York,2009,0.11,0,0,1158,287,829,1.486502402799058,4.29376478021052,8.383333333333333,46936.0,19307.066,133491.0,6914.10077533272
36,NY,New York,2010,0.14,0,0,1201,288,821,1.4845394494709163,4.231968361165355,8.733333333333333,48578.0,19399.956,131252.0,6765.582354929053
36,NY,New York,2011,0.14,0,0,1171,263,848,1.348723412776903,4.348735566672296,8.358333333333333,50772.0,19499.921,122517.0,6282.94853091969
