state_abbrev,year,vmt_total_million
MO,2011,68789.0
MO,2012,68504.0
MO,2013,69458.0
MO,2014,70909.0
MO,2015,71918.0
MO,2016,74019.0
MO,2017,75911.0
MO,2018,76595.0
MO,2019,79168.0
MO,2020,72797.0
MO,2021,79791.0
MO,2022,79431.0
MO,2023,80825.0
MS,2003,41340.23345834622
MS,2004,42406.81574687085
MS,2005,42759.23932007865
MS,2006,43112.36376406395
MS,2007,43337.0
MS,2008,43711.0
MS,2009,40427.0
MS,2010,39841.0
MS,2011,38851.0
MS,2012,38667.0
MS,2013,38758.0
MS,2014,39499.0
MS,2015,39890.0
MS,2016,40755.0
MS,2017,40877.0
MS,2018,40730.0
MS,2019,41091.0
MS,2020,39665.0
MS,2021,40853.0
MS,2022,39952.0
MS,2023,40944.0
MT,2003,10786.026252706019
MT,2004,11064.306842879496
MT,2005,11156.25721651543
MT,2006,11248.390453429427
MT,2007,11307.0
MT,2008,10812.0
MT,2009,11011.0
MT,2010,11190.0
MT,2011,11660.0
MT,2012,11885.0
MT,2013,12033.0
MT,2014,12157.0
MT,2015,12345.0
MT,2016,12599.0
MT,2017,12645.0
MT,2018,12700.0
MT,2019,12892.0
MT,2020,12104.0
MT,2021,13482.0
MT,2022,13514.0
MT,2023,13700.0
NC,2003,98824.68804526736
NC,2004,101374.37519312197
NC,2005,102216.85107602066
NC,2006,103061.00240509257
NC,2007,103598.0
NC,2008,101712.0
NC,2010,102385.0
NC,2011,103772.0
NC,2012,104950.0
NC,2013,105213.0
NC,2014,108012.0
NC,2015,111879.0
NC,2016,116749.0
NC,2017,119176.0
NC,2018,121127.0
NC,2019,122475.0
NC,2020,106342.0
NC,2021,117734.0
NC,2022,119381.0
NC,2023,122258.0
ND,2003,7482.5851177346785
ND,2004,7675.636585791702
ND,2005,7739.425276938802
ND,2006,7803.340825745151
ND,2007,7844.0
ND,2008,7820.0
ND,2009,8154.0
ND,2010,8262.0
ND,2011,9131.0
ND,2012,10081.0
ND,2013,10100.0
ND,2014,10511.0
ND,2015,10036.0
ND,2016,9739.0
ND,2017,9717.0
ND,2018,9856.0
ND,2019,9826.0
ND,2020,8768.0
ND,2021,9256.0
ND,2022,9180.0
ND,2023,9896.0
NE,2003,18543.34167563034
NE,2004,19021.761804080175
NE,2005,19179.84293197519
NE,2006,19338.238438508415
NE,2007,19439.0
NE,2008,19170.0
NE,2009,19359.0
NE,2010,19438.0
NE,2011,19093.0
NE,2012,19277.0
NE,2013,19322.0
NE,2014,19613.0
NE,2015,20101.0
NE,2016,20700.0
NE,2017,21002.0
NE,2018,20975.0
NE,2019,21242.0
NE,2020,19432.0
NE,2021,21210.0
NE,2022,21270.0
NE,2023,21275.0
NH,2003,12838.872144261988
NH,2004,13170.116370241014
NH,2005,13279.567159908127
NH,2006,13389.235616229473
NH,2007,13459.0
NH,2008,13040.0
NH,2009,12975.0
NH,2010,13065.0
NH,2011,12720.0
NH,2012,12894.0
NH,2013,12903.0
NH,2014,12970.0
NH,2015,13094.0
NH,2016,13513.0
NH,2017,13681.0
NH,2018,13776.0
NH,2019,13828.0
NH,2020,11956.0
NH,2021,13130.0
NH,2022,13281.0
NH,2023,13515.0
NJ,2003,72643.27153056237
NJ,2004,74517.47543105682
NJ,2005,75136.75595224932
NJ,2006,75757.26804718826
NJ,2007,76152.0
NJ,2008,73629.0
NJ,2009,73029.0
NJ,2010,73028.0
NJ,2011,73094.0
NJ,2012,74225.0
NJ,2013,74530.0
NJ,2014,74856.0
NJ,2015,75393.0
NJ,2016,77093.0
NJ,2017,77509.0
NJ,2018,77539.0
NJ,2019,78205.0
NJ,2020,66341.0
NJ,2021,73673.0
NJ,2022,75288.0
NJ,2023,78007.0
NM,2003,25612.877410909754
NM,2004,26273.692290732688
NM,2005,26492.04088294325
NM,2006,26710.82370872735
NM,2007,26850.0
NM,2008,26279.0
NM,2009,26013.0
NM,2010,25274.0
NM,2011,25650.0
NM,2012,25562.0
NM,2013,25086.0
NM,2014,25347.0
NM,2015,27435.0
NM,2016,27886.0
NM,2017,27836.0
NM,2018,27288.0
NM,2019,27772.0
NM,2020,23756.0
NM,2021,26823.0
NM,2022,26831.0
NM,2023,28169.0
NV,2003,21125.61575947886
NV,2004,21670.658825719405
NV,2005,21850.75372043431
NV,2006,22031.206772941372
NV,2007,22146.0
NV,2008,20780.0
NV,2009,20454.0
NV,2010,22201.0
NV,2011,24189.0
NV,2012,24148.0
NV,2013,24649.0
NV,2014,25302.0
NV,2015,25925.0
NV,2016,26788.0
NV,2017,27587.0
NV,2018,28319.0
NV,2019,28794.0
NV,2020,25231.0
NV,2021,27077.0
NV,2022,27647.0
NV,2023,27777.0
NY,2003,130436.79771082186
NY,2004,133802.08054964303
NY,2005,134914.04820152742
NY,2006,136028.22724246746
NY,2007,136737.0
NY,2008,134085.0
NY,2009,133491.0
NY,2010,131252.0
NY,2011,122517.0
NY,2012,122903.0
NY,2013,124355.0
NY,2014,123984.0
NY,2015,121699.0
NY,2016,122337.0
NY,2017,123477.0
NY,2018,123510.0
NY,2019,123986.0
NY,2020,102477.0
NY,2021,106870.0
NY,2022,115382.0
NY,2023,120067.0
OH,2003,105533.64025498537
OH,2004,108256.4190620502
OH,2005,109156.08845142997
OH,2006,110057.54702868585
