topic_key,state_name,state_abbrev,effective_date,year,change_text
beer_tax,Kentucky,KY,6/1/2018,2018,"Multiple changes * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B123%5D=123 ""View - Topic Details"")"
beer_tax,Kentucky,KY,6/1/2017,2017,"Multiple changes * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B123%5D=123 ""View - Topic Details"")"
beer_tax,Kentucky,KY,6/1/2016,2016,"Multiple changes * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B123%5D=123 ""View - Topic Details"")"
beer_tax,Kentucky,KY,7/1/2015,2015,"Multiple changes * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B123%5D=123 ""View - Topic Details"")"
beer_tax,Kentucky,KY,6/1/2005,2005,"Multiple changes * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B123%5D=123 ""View - Topic Details"")"
beer_tax,Louisiana,LA,4/1/2016,2016,"Specific excise tax per gallon increased * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B124%5D=124 ""View - Topic Details"")"
beer_tax,Maine,ME,10/1/2013,2013,"Ad valorem on-site tax per increased * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B125%5D=125 ""View - Topic Details"")"
beer_tax,Maryland,MD,7/1/2011,2011,"Multiple Changes * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B126%5D=126 ""View - Topic Details"")"
beer_tax,Minnesota,MN,1/1/2006,2006,"Multiple Changes * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B129%5D=129 ""View - Topic Details"")"
beer_tax,Nebraska,NE,7/1/2003,2003,"Specific excise tax per gallon increased * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B133%5D=133 ""View - Topic Details"")"
beer_tax,Nevada,NV,8/1/2003,2003,"Specific excise tax per gallon increased * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B134%5D=134 ""View - Topic Details"")"
beer_tax,New York,NY,5/1/2009,2009,"Specific excise tax per gallon increased * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B138%5D=138 ""View - Topic Details"")"
beer_tax,New York,NY,9/1/2003,2003,"Specific excise tax per gallon decreased * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B138%5D=138 ""View - Topic Details"")"
beer_tax,North Carolina,NC,9/1/2009,2009,"Specific excise tax per gallon increased * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B139%5D=139 ""View - Topic Details"")"
beer_tax,Oklahoma,OK,10/1/2018,2018,"Ad valorem on-site tax added * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B142%5D=142 ""View - Topic Details"")"
beer_tax,Rhode Island,RI,7/1/2013,2013,"Specific excise tax per gallon increased * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B145%5D=145 ""View - Topic Details"")"
beer_tax,Tennessee,TN,7/1/2013,2013,"Specific excise tax per gallon increased * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B148%5D=148 ""View - Topic Details"")"
beer_tax,Texas,TX,1/1/2014,2014,"Ad valorem on-site tax per increased * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B149%5D=149 ""View - Topic Details"")"
beer_tax,Utah,UT,11/1/2019,2019,"Other change * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B150%5D=150 ""View - Topic Details"")"
beer_tax,Vermont,VT,10/1/2003,2003,"Ad valorem on-site per gallon decreased * [Details](http://alcoholpolicy.niaaa.nih.gov/apis-policy-topics/beer/30/changes-over-time?jr%5B151%5D=151 ""View - Topic Details"")"
