state_abbrev,year,teen_current_alcohol_use_pct,teen_binge_pct,teen_source,coverage_flag
TX,2017,26.8128,11.8392,YRBS_Socrata,observed
TX,2019,,,YRBS_Explorer,missing_no_state_data
TX,2021,,,YRBS_Explorer,missing_no_state_data
TX,2023,,,YRBS_Explorer,missing_no_state_data
UT,1991,26.5614,,YRBS_Socrata,observed
UT,1993,26.0408,,YRBS_Socrata,observed
UT,1995,22.3939,,YRBS_Socrata,observed
UT,1997,24.3293,,YRBS_Socrata,observed
UT,1999,22.7484,,YRBS_Socrata,observed
UT,2001,17.869,,YRBS_Socrata,observed
UT,2003,21.2824,,YRBS_Socrata,observed
UT,2005,15.7832,,YRBS_Socrata,observed
UT,2007,16.9786,,YRBS_Socrata,observed
UT,2009,18.1946,,YRBS_Socrata,observed
UT,2011,15.0453,,YRBS_Socrata,observed
UT,2013,11.038,,YRBS_Socrata,observed
UT,2017,10.6251,4.7681,YRBS_Socrata,observed
UT,2019,,,YRBS_Explorer,missing_no_state_data
UT,2021,,,YRBS_Explorer,missing_no_state_data
UT,2023,,,YRBS_Explorer,missing_no_state_data
VA,2011,30.4685,,YRBS_Socrata,observed
VA,2013,27.3058,,YRBS_Socrata,observed
VA,2015,23.3748,,YRBS_Socrata,observed
VA,2017,24.4832,12.2638,YRBS_Socrata,observed
VA,2019,,,YRBS_Explorer,missing_no_state_data
VA,2021,,,YRBS_Explorer,missing_no_state_data
VA,2023,,,YRBS_Explorer,missing_no_state_data
VT,1993,52.6231,,YRBS_Socrata,observed
VT,1995,56.4665,,YRBS_Socrata,observed
VT,1997,54.8784,,YRBS_Socrata,observed
VT,1999,49.4949,,YRBS_Socrata,observed
VT,2001,48.0988,,YRBS_Socrata,observed
VT,2003,43.5165,,YRBS_Socrata,observed
VT,2005,41.7708,,YRBS_Socrata,observed
VT,2007,42.5722,,YRBS_Socrata,observed
VT,2009,39.0383,,YRBS_Socrata,observed
VT,2011,35.3354,,YRBS_Socrata,observed
VT,2015,29.9569,,YRBS_Socrata,observed
VT,2017,32.9851,16.9166,YRBS_Socrata,observed
VT,2019,,,YRBS_Explorer,missing_no_state_data
VT,2021,,,YRBS_Explorer,missing_no_state_data
VT,2023,,,YRBS_Explorer,missing_no_state_data
WA,2019,,,YRBS_Explorer,missing_no_location_code
WA,2021,,,YRBS_Explorer,missing_no_location_code
WA,2023,,,YRBS_Explorer,missing_no_location_code
WI,1993,48.0786,,YRBS_Socrata,observed
WI,1997,50.5181,,YRBS_Socrata,observed
WI,1999,51.7661,,YRBS_Socrata,observed
WI,2001,54.1002,,YRBS_Socrata,observed
WI,2003,47.2628,,YRBS_Socrata,observed
WI,2005,49.1823,,YRBS_Socrata,observed
WI,2007,48.8808,,YRBS_Socrata,observed
WI,2009,41.3145,,YRBS_Socrata,observed
WI,2011,39.2194,,YRBS_Socrata,observed
WI,2013,32.7228,,YRBS_Socrata,observed
WI,2017,30.4302,,YRBS_Socrata,observed
WI,2019,,,YRBS_Explorer,missing_no_state_data
WI,2021,,,YRBS_Explorer,missing_no_state_data
WI,2023,,,YRBS_Explorer,missing_no_state_data
WV,1993,52.7208,,YRBS_Socrata,observed
WV,1995,51.5763,,YRBS_Socrata,observed
WV,1997,51.4703,,YRBS_Socrata,observed
WV,1999,48.6481,,YRBS_Socrata,observed
WV,2003,44.4087,,YRBS_Socrata,observed
WV,2005,41.5136,,YRBS_Socrata,observed
